episode,timestep,reward
4249, 327840, 1423.9345
4253, 328320, 830.1369
4255, 328800, 1404.0955
4259, 329280, 531.3052
4261, 329760, 1246.3559
4263, 330240, 546.7089
4265, 330720, 1625.6937
4267, 331200, 1255.2602
4269, 331680, 1306.7192
4272, 332160, 837.043
4274, 332640, 1268.4571
4276, 333120, 1264.0501
4279, 333600, 806.4791
4282, 334080, 925.7738
4284, 334560, 1549.5405
4286, 335040, 1575.3649
4288, 335520, 1662.3754
4290, 336000, 1087.9963
4293, 336480, 1051.5397
4296, 336960, 797.603
4299, 337440, 1173.4429
4302, 337920, 698.4753
4304, 338400, 1919.0508
4306, 338880, 614.5061
4308, 339360, 1500.5804
4310, 339840, 1912.2354
4312, 340320, 1522.8895
4314, 340800, 1924.415
4317, 341280, 962.1313
4319, 341760, 1396.0912
4321, 342240, 1342.8877
4323, 342720, 1417.1031
4325, 343200, 1100.8134
4327, 343680, 1818.3532
4329, 344160, 1473.7754
4331, 344640, 1781.123
4333, 345120, 1614.2286
4336, 345600, 1147.9198
4338, 346080, 1794.2875
4340, 346560, 1350.5159
4342, 347040, 1335.3366
4344, 347520, 1882.6398
4346, 348000, 1355.9904
4348, 348480, 1719.855
4350, 348960, 1381.9229
4352, 349440, 1811.9118
4354, 349920, 1636.5062
4356, 350400, 1778.0907
4359, 350880, 1108.4082
4361, 351360, 1056.257
4364, 351840, 945.6179
4366, 352320, 1567.4657
4369, 352800, 1285.5691
4371, 353280, 1430.8066
4373, 353760, 1562.8636
4375, 354240, 1589.8351
4377, 354720, 892.572
4380, 355200, 859.8829
4382, 355680, 759.0328
4384, 356160, 1438.2539
4387, 356640, 790.444
4389, 357120, 1452.1102
4394, 357600, 776.337
4397, 358080, 877.9421
4399, 358560, 1011.7169
4402, 359040, 774.8269
4404, 359520, 1312.6653
4407, 360000, 970.7468
4409, 360480, 1309.3369
4411, 360960, 1029.8285
4413, 361440, 1171.8503
4415, 361920, 1119.6605
4417, 362400, 1647.4292
4419, 362880, 1732.6513
4422, 363360, 823.5271
4424, 363840, 452.2971
4426, 364320, 1214.4465
4428, 364800, 1457.402
4430, 365280, 1588.5671
4432, 365760, 1193.6506
4434, 366240, 1207.7538
4438, 366720, 508.6494
4440, 367200, 1321.6358
4443, 367680, 1056.074
4445, 368160, 1477.8471
4447, 368640, 1030.7253
4449, 369120, 1073.0494
4451, 369600, 1243.9523
4454, 370080, 1303.2722
4457, 370560, 712.7024
4460, 371040, 1087.7535
4462, 371520, 1140.4497
4464, 372000, 1279.4077
4466, 372480, 1079.6936
4469, 372960, 1124.3004
4471, 373440, 1671.0893
4473, 373920, 1163.6048
4475, 374400, 1062.6176
4477, 374880, 1589.9711
4479, 375360, 1339.7177
4481, 375840, 1134.6139
4484, 376320, 969.9563
4486, 376800, 1653.0853
4488, 377280, 895.901
4490, 377760, 1453.1075
4492, 378240, 1404.0659
4495, 378720, 857.3265
4498, 379200, 906.4366
4500, 379680, 1493.7241
4502, 380160, 1332.1786
4505, 380640, 1195.7494
4507, 381120, 1567.7213
4509, 381600, 1293.62
4511, 382080, 1708.0505
4513, 382560, 1533.9502
4515, 383040, 1567.0461
